编码,中文名称,拼音名称,区域级别,上级区域编码,短名字,后缀
620900,酒泉市,jiu quan shi,3,620000,酒泉,市
653100,喀什地区,ka shi di qu,3,650000,喀什,地区
410200,开封市,kai feng shi,3,410000,开封,市
659008,可克达拉市,ke ke da la shi,3,650000,可克达拉,市
650200,克拉玛依市,ke la ma yi shi,3,650000,克拉玛依,市
653000,克孜勒苏柯尔克孜自治州,ke zi le su ke er ke zi zi zhi zhou,3,650000,克孜勒苏柯尔克孜,自治州
530100,昆明市,kun ming shi,3,530000,昆明,市
659009,昆玉市,kun yu shi,3,650000,昆玉,市
540100,拉萨市,la sa shi,3,540000,拉萨,市
451300,来宾市,lai bin shi,3,450000,来宾,市
620100,兰州市,lan zhou shi,3,620000,兰州,市
131000,廊坊市,lang fang shi,3,130000,廊坊,市
469027,乐东黎族自治县,le dong li zu zi zhi xian,3,460000,乐东,黎族自治县
511100,乐山市,le shan shi,3,510000,乐山,市
530700,丽江市,li jiang shi,3,530000,丽江,市
331100,丽水市,li shui shi,3,330000,丽水,市
320700,连云港市,lian yun gang shi,3,320000,连云港,市
513400,凉山彝族自治州,liang shan yi zu zi zhi zhou,3,510000,凉山,彝族自治州
211000,辽阳市,liao yang shi,3,210000,辽阳,市
220400,辽源市,liao yuan shi,3,220000,辽源,市
371500,聊城市,liao cheng shi,3,370000,聊城,市
540400,林芝市,lin zhi shi,3,540000,林芝,市
530900,临沧市,lin cang shi,3,530000,临沧,市
141000,临汾市,lin fen shi,3,140000,临汾,市
469024,临高县,lin gao xian,3,460000,临高,县
622900,临夏回族自治州,lin xia hui zu zi zhi zhou,3,620000,临夏,回族自治州
371300,临沂市,lin yi shi,3,370000,临沂,市
469028,陵水黎族自治县,ling shui li zu zi zhi xian,3,460000,陵水,黎族自治县
450200,柳州市,liu zhou shi,3,450000,柳州,市
341500,六安市,liu an shi,3,340000,六安,市
520200,六盘水市,liu pan shui shi,3,520000,六盘水,市
350800,龙岩市,long yan shi,3,350000,龙岩,市
621200,陇南市,long nan shi,3,620000,陇南,市
431300,娄底市,lou di shi,3,430000,娄底,市
510500,泸州市,lu zhou shi,3,510000,泸州,市
